station ID,year,JanTotal,FebTotal,MarTotal,AprTotal,MayTotal,JunTotal,JulTotal,AugTotal,SepTotal,OctTotal,NovTotal,DecTotal,AnnTotal
63207,1971,2.98,6.39,3.25,2.67,3.89,1.34,3.97,2.52,0.65,5.49,5.83,2.96,41.93
63207,1972,2.29,5.07,6.2,4.51,5.02,9.91,3.06,3.5,4.65,5.3,7.65,6.91,64.05
63207,1973,3.94,2.8,3.61,6.56,4.65,2.39,6.11,3.93,3.3,3.3,2.59,7.31,50.49
63207,1974,5.18,2.57,5.01,3.35,2.81,3.43,1.88,1.91,6.43,2.31,1.41,6.63,42.92
63207,1975,5.96,4.41,3.14,3.48,2.72,4.15,2.9,3.37,6.04,4.01,6.04,3.92,50.13
63207,1976,6.2,2.54,3.08,2.14,3.23,1.19,2.68,6.57,1.81,5.66,0.57,3.59,39.28
63207,1977,3.65,3.2,5.91,3.96,2.7,3.44,1.35,4.44,6.66,7.52,3.65,6.62,53.11
63207,1978,8.6,2.14,3.06,2.17,7.65,1.35,4.69,4.18,4.02,2.57,3.74,6.05,50.23
63207,1979,12.2,5.17,3.07,4.23,6.66,1.72,0.36,5.78,5.08,3.07,4.13,2.23,53.72
63207,1980,1.78,0.74,8.17,4.73,1.96,1.8,3.1,2.81,1.19,4.81,3.34,1.58,36.02
